Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4339,PR,Toa Alta (Municipio),BO GALATEO CENTRO,953,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),BO ORTIZ TOA ALTA,953,1,0,0,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),BO QUEBRADA ARENAS TOA ALTA,953,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),BUCARABONES TOA ALTA,953,1,1,1,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),COROZAL,783,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),DORADO,646,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),GALATEO CENTRO TOA ALTA,953,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),GUAYNABO,966,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),GUAYNABO,971,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),MINILLAS,956,1,0,0,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),MOROVIS,687,1,1,1,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),MUCARABONES TOA ALTA,953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),NARANJITO,953,1,1,1,0,0,0,1,6894,0,1106,5788,1,0,0,0
4339,PR,Toa Alta (Municipio),PUERTO RICO,953,3,2,2,0,0,0,1,553,0,553,0,1,0,0,0
4339,PR,Toa Alta (Municipio),QUEBRADA CRUZ TOA ALTA,953,1,0,0,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),SAN JUAN,923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),SECTOR FALCONA,953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALT,953,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,0,1,0,0,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,53,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,653,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,719,1,0,0,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,758,4,4,4,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,762,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,783,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,793,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,853,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,923,1,1,1,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,936,3,2,2,0,0,0,2,732,0,0,732,2,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,943,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,946,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,949,2,1,1,0,0,0,2,1000,0,0,1000,2,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,953,"4,114",2447,2201,159,87,0,1670,2398267,25791,411862,1960615,"1,660",9,1,0
4339,PR,Toa Alta (Municipio),TOA ALTA,954,172,103,88,10,5,0,74,107952,0,23811,84141,74,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,956,10,4,4,0,0,0,2,1000,0,0,1000,2,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,957,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,959,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,961,1,0,0,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,963,6,2,2,0,0,0,3,1500,0,0,1500,3,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,9540,1,0,0,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Alta (Municipio),TOA ALTA,32828,1,0,0,0,0,0,1,500,0,0,500,1,0,0,0
